
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CAP-SMD0603-100P                 C22                               39   1      1   1   1 1           1 0 $1N14               (208-16-13)
CAP-SMD0603-100P                 C22                               39   1      2   1   1 2           2 0 $1N10               (208-15-13)
CAP-SMD0603-100P                 C23                               40   1      1   1   1 1           1 0 $1N14_13            (208-19-13)
CAP-SMD0603-100P                 C23                               40   1      2   1   1 2           2 0 WR0                 (100-47-13)
CAP-SMD0603-100P                 C24                               38   1      1   1   1 1           1 0 $1N14               (208-16-13)
CAP-SMD0603-100P                 C24                               38   1      2   1   1 2           2 0 WR1                 (100-48-13)
CAP-SMD0603-100P                 C25                               41   1      1   1   1 1           1 0 $1N14_13            (208-19-13)
CAP-SMD0603-100P                 C25                               41   1      2   1   1 2           2 0 $1N10_13            (208-18-13)
CAP-SMD0603-100P                 C26                               42   1      1   1   1 1           1 0 GND                 (91-1-13)
CAP-SMD0603-100P                 C26                               42   1      2   1   1 2           2 0 $1N22               (274-2-13)
CAP-SMD0805-5P                   C19                               60   1      1   1   1 1           1 0 $2N27               (194-13-13)
CAP-SMD0805-5P                   C19                               60   1      2   1   1 2           2 0 GND                 (91-1-13)
CAP-SMD0805-5P                   C20                               59   1      1   1   1 1           1 0 $2N21               (194-9-13)
CAP-SMD0805-5P                   C20                               59   1      2   1   1 2           2 0 GND                 (91-1-13)
CAP-SMD0805-5P                   C21                               58   1      1   1   1 1           1 0 GND                 (91-1-13)
CAP-SMD0805-5P                   C21                               58   1      2   1   1 2           2 0 $2N17               (194-5-13)
CAP-SMD1206-10P                  C1                                11   1      1   1   1 1           1 0 GND                 (91-1-13)
CAP-SMD1206-10P                  C1                                11   1      2   1   1 2           2 0 VEE                 (297-1-13)
CAP-SMD1206-10P                  C2                                12   1      1   1   1 1           1 0 GND                 (91-1-13)
CAP-SMD1206-10P                  C2                                12   1      2   1   1 2           2 0 VDD                 (87-1-13)
CAP-SMD1206-10P                  C3                                22   1      1   1   1 1           1 0 GND                 (91-1-13)
CAP-SMD1206-10P                  C3                                22   1      2   1   1 2           2 0 VCC                 (100-5-13)
CAP-SMD1206-10P                  C4                                21   1      1   1   1 1           1 0 GND                 (91-1-13)
CAP-SMD1206-10P                  C4                                21   1      2   1   1 2           2 0 VCC                 (100-5-13)
