Wed Oct 07 11:13:31 2009

Project path: C:\MGTraining\projects\PRACTICE\database

Constraints definition "CMH2PC" deleted.
Constraints definition "TOPO_DESC" levels updated.
Constraints definition "TOPO_BOUNDARY_PINS" levels updated.
Constraints definition "TOPO_USERDEFINED" levels updated.
Constraints definition "TOPO_PIN_GROUP" levels updated.
Constraints definition "TOPO_ORIG_NAME" levels updated.
Constraints definition "TOPO_DEVICE" levels updated.
Constraints definition "TOPO_MODEL" levels updated.
Constraints definition "TOPO_VALUE" levels updated.
Constraints definition "TOPO_PIN_TYPE" levels updated.
Constraints definition "TOPO_PIN_NUMBER" levels updated.
Constraints definition "TOPO_PIN_NET" levels updated.
Constraints definition "TOPO_PIN_MODEL" levels updated.
Constraints definition "TOPO_ASSIGN_PIN_GROUP" levels updated.
Constraints definition "TOPO_PINSET_TYPE" levels updated.
Constraints definition "TOPO_PINSET_PINS" levels updated.
Constraints definition "TOPO_NET_ECLASS" levels updated.
Constraints definition "TOPO_NET_PCLASS" levels updated.
Constraints definition "TOPO_XTALK" levels updated.
Constraints definition "TOPO_XTALK_STATE" levels updated.
Constraints definition "TOPO_CSET" levels updated.
Constraints definition "ORDER_TYPE" levels updated.
Constraints definition "TOPO_ORDERED" levels updated.
Constraints definition "EXT_LAYER_LENGTH" levels updated.
Constraints definition "INT_LAYER_LENGTH" levels updated.
Constraints definition "FT_LAYER" levels updated.
Constraints definition "FT_TRACE_WIDTH" levels updated.
Constraints definition "DELAY_TYPE" levels updated.
Constraints definition "MIN_DELAY" levels updated.
Constraints definition "MAX_DELAY" levels updated.
Constraints definition "MATCH_GROUP" levels updated.
Constraints definition "MATCH_TOLERANCE" levels updated.
Constraints definition "COMPLEX_FORMULA" levels updated.
Constraints definition "MAX_STATIC_LO_OVERSHOOT" levels updated.
Constraints definition "MAX_STATIC_HI_OVERSHOOT" levels updated.
Constraints definition "MAX_DYN_LO_OVERSHOOT" levels updated.
Constraints definition "MAX_DYN_HI_OVERSHOOT" levels updated.
Constraints definition "MAX_HIGH_RINGBACK" levels updated.
Constraints definition "MAX_LOW_RINGBACK" levels updated.
Constraints definition "MONOTONIC_EDGE" levels updated.
Constraints definition "IMPEDANCE" levels updated.
Constraints definition "IMPEDANCE_TOL" levels updated.
Constraints definition "SIM_SETTINGS" levels updated.
Constraints definition "SIM_STIM" levels updated.
Constraints definition "SIM_DELAY_TYPE" levels updated.
Constraints definition "SIM_MIN_DELAY" levels updated.
Constraints definition "SIM_MAX_DELAY" levels updated.
Constraints definition "SIM_MAX_RANGE" levels updated.
Constraints definition "SIM_DELAY_MATCH" levels updated.
Constraints definition "SIM_DELAY_OFFSET" levels updated.
Constraints definition "SIM_MATCH_TOL" levels updated.
Constraints definition "DP_TOL" levels updated.
Constraints definition "DP_CDT" levels updated.
Constraints definition "DP_MDC" levels updated.
Constraints definition "DP_MSD" levels updated.
Constraints definition "DP_IMPEDANCE" levels updated.
Constraints definition "DP_IMPEDANCE_TOL" levels updated.
Constraints definition "IO_STANDARD" levels updated.
Constraints definition "RB_DATA" levels updated.
Constraints definition "RB_REMAP_CL_DEF" levels updated.
Constraints definition "RB_REMAP_DEF_INS" levels updated.
Constraints definition "SIM_DELAY_MATCH_TO" levels updated.
Constraints definition "SIM_DELAY_MATCH" parents updated.
Constraints definition "SIM_DELAY_OFFSET" parents updated.
